Id,Label,Eigenvector Centrality,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Clustering Coefficient,Weighted Clustering Coefficient,Strenght
swan,swan,0.14617348403929495,14,3.0,2.068027210884354,20.781345230010103,14,21,35,53.0,29.0,24.0,0.001483386,0.001483386,0.5554187,0.2846837,53.0
gibbon,gibbon,0.023165412715777774,22,4.0,2.6530612244897958,0.24209075058503515,3,4,7,11.0,6.0,5.0,3.9556963E-4,3.9556963E-4,0.6904762,0.72727275,11.0
redsquirrel,redsquirrel,0.009989062751674724,20,4.0,2.4761904761904763,0.44947397825633945,1,5,6,7.0,2.0,5.0,1.9778482E-4,1.9778482E-4,0.46666667,0.4857143,7.0
clam,clam,0.028913003734380282,4,4.0,2.445578231292517,9.528148407751935,6,4,10,13.0,8.0,5.0,6.9224683E-4,6.9224683E-4,0.3611111,0.32905984,13.0
crab,crab,0.04727959586798717,33,4.0,2.7653061224489797,77.68659700607955,7,6,13,18.0,10.0,8.0,7.9113926E-4,7.9113926E-4,0.25454545,0.2037037,18.0
cobra,cobra,0.030208753724380383,9,4.0,2.578231292517007,5.358476468742629,3,3,6,7.0,4.0,3.0,3.9556963E-4,3.9556963E-4,0.46666667,0.5,7.0
cockatoo,cockatoo,0.049627382260513976,11,4.0,2.425170068027211,4.318459171780655,6,6,12,14.0,8.0,6.0,6.9224683E-4,6.9224683E-4,0.42727274,0.3538961,14.0
mare,mare,0.036249847891298,12,4.0,2.574829931972789,1.6162846854844994,4,3,7,7.0,4.0,3.0,4.9446203E-4,4.9446203E-4,0.5,0.5,7.0
minx,minx,0.07285779803346316,24,3.0,2.3299319727891157,5.658837874971565,8,9,17,19.0,10.0,9.0,8.9003163E-4,8.9003163E-4,0.7047619,0.5690789,19.0
ibi,ibi,0.03251701004968527,11,3.0,2.357142857142857,15.928605469813473,5,5,10,10.0,5.0,5.0,5.933544E-4,5.933544E-4,0.36666667,0.36666667,10.0
roadrunn,roadrunn,0.02531570016644263,31,4.0,2.425170068027211,10.394229340752903,5,6,11,12.0,6.0,6.0,5.933544E-4,5.933544E-4,0.3,0.28333336,12.0
wombat,wombat,0.08124907134664193,6,4.0,2.3979591836734695,12.947920044340796,10,7,17,20.0,11.0,9.0,0.0010878164,0.0010878164,0.45604396,0.284375,20.0
lobster,lobster,0.01676592467256567,33,4.0,2.489795918367347,23.98844741004192,4,6,10,15.0,8.0,7.0,4.9446203E-4,4.9446203E-4,0.2638889,0.2074074,15.0
perch,perch,0.02885217828879975,28,4.0,2.302721088435374,87.56104307216356,9,7,16,18.0,10.0,8.0,9.889241E-4,9.889241E-4,0.1923077,0.13333333,18.0
shrimp,shrimp,0.003939076528532461,33,4.0,2.639455782312925,4.8422653979176635,2,2,4,7.0,3.0,4.0,2.966772E-4,2.966772E-4,0.25,0.33333334,7.0
python,python,0.024222117564315786,9,4.0,2.608843537414966,10.249042973557314,4,5,9,10.0,5.0,5.0,4.9446203E-4,4.9446203E-4,0.15277778,0.15,10.0
raven,raven,0.016513467555621702,11,4.0,2.7142857142857144,13.808462794165756,5,5,10,12.0,6.0,6.0,5.933544E-4,5.933544E-4,0.32142857,0.25925925,12.0
doe,doe,0.027104772116404417,2,4.0,2.380952380952381,0.03125,2,5,7,9.0,4.0,5.0,2.966772E-4,2.966772E-4,0.9285714,0.9444445,9.0
ermin,ermin,0.049436146160381805,24,4.0,2.608843537414966,2.1867512844561934,7,4,11,13.0,7.0,6.0,7.9113926E-4,7.9113926E-4,0.5,0.34615386,13.0
fawn,fawn,0.06695331899426712,2,3.0,2.2244897959183674,0.1889997851029341,6,9,15,28.0,15.0,13.0,6.9224683E-4,6.9224683E-4,0.8681319,0.7869898,28.0
hare,hare,0.10017279506395739,9,4.0,2.3333333333333335,9.725861957172954,8,9,17,22.0,11.0,11.0,8.9003163E-4,8.9003163E-4,0.4857143,0.39914775,22.0
